title,doi,wingspan_m,weight_g,tandem,ai,type,DataMissed,wingspan_filled,weight_filled,wingspan,weight,0=机构结构，1=动力学，2=气动，3=控制，4=系统/任务集成,
Flying octopus - A LTAV with wire-driven flapping wings,10.1115/IMECE2012-87408,1.403,1592,1,0,3,2,1.221,1592,-1,1592,,
Autonomous Flight Implementation of Flapping Wing Aerial Vehicle with Data Driven Mathematical Modal Formation using Wireless onboard Telemetry,10.1109/ICECIE63774.2024.10815648,1.533,2000,0,0,3,2,1.266,2000,-1,2000,,
Vector Field Aided Trajectory Tracking by a 10-gram Flapping-Wing Micro Aerial Vehicle,10.1109/ICRA48891.2023.10160976,0.194,10,0,2,3,2,0.255,10,0.194,10,,
Learning extreme hummingbird maneuvers on flapping wing robots,10.1109/ICRA.2019.8794100,0.208,12,0,2,3,2,0.278,12,0.208,12,,
Autonomous navigation system for flapping wing aerial vehicle based on event-trigger planner,10.1016/j.cja.2025.103576,0.282,26,0,2,3,2,0.349,26,0.282,26,,
Insect-like flapping wing mechanism based on a double spherical Scotch yoke,10.1098/rsif.2005.0031,0.426,75,0,2,3,2,0.456,75,0.426,75,,
Ornithopter type flapping wings for autonomous micro air vehicles,10.3390/aerospace2020235,0.574,161,0,2,3,2,0.574,161,0.574,161,,
The WiFly: Flapping-Wing Small UAV with COG Shift Mechanism (single-motor type),10.20965/jrm.2021.p0205_single,0.31,32,1,2,3,0,0.31,32,0.31,32,1,
The WiFly: Flapping-Wing Small UAV with COG Shift Mechanism (double-motor type),10.20965/jrm.2021.p0205_double,0.22,45,1,2,3,0,0.22,45,0.22,45,1,
Bio-Inspired Rapid Escape and Tight Body Flip on an At-Scale Flapping Wing Hummingbird Robot Via Reinforcement Learning,10.1109/TRO.2021.3064882,0.17,12,0,2,3,0,0.17,12,0.17,12,1,
Design of a hover-capable flapping wing micro air vehicle with abdomen-wing coupled control (BH-Fly),10.1016/j.cja.2025.103807,0.22,32.5,0,0,3,0,0.22,32.5,0.22,32.5,1,
Gravity-assisted Takeoff of Bird-inspired Flapping-Wing Air Vehicle Using Cliff-drop,10.1007/s42235-024-00615-2,1.2,740,0,0,4,0,1.2,740,1.2,740,,
Development of a Motor-Direct-Driven Bi-directional Actuation Flapping Wing System Using Extension Spring,10.5302/J.ICROS.2022.22.0052,0.254,20,0,0,4,2,0.314,20,-1,20,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,m = (Span / 1.17)^(1/0.39)
,,,,,,,,,,,,,Span = 1.17 * m^0.39
